ܡܚܨܐ	m x aː t͡ʃˤ eː
کمی	k ə m iː
گرڈ	ɡ ə ɽ ʊ ɖ
استفسار	i s t i f s aː r
שרב	ʃ a ʁ a v
یت	ɪ j ə t
خاله	x ɑː l a
ܛܠܝܐ	tˤ a l j aː
ܡܥܒܪܢܝܬܐ	m a b eː r a n iː θ a
غرفة	ɣ u r f a
ܡܣܡܣܡܢܐ	m ə s a m s ə m ɑː n ɑː
يوازېتو	j o ɑ z e t o
ܡܨܐ	m aː sˤ eː
ستونزو	s ə t u n z ə w
ܕܘܢܝܐ	d u n j eː
قوس	q a w i s a
بےدخلی	b eː d a x l iː
ژره	ʐ r ə
شمسي	ʂ m s i
بھوتنی	bʰ uː t ɪ n iː
دستاویز	d ʊ s t aː ʋ iː z
بخت	b a x t
ܬܘܕܝܬܐ	t a w d iː θ ɑː
ܦܛܪܝܩܐ	p a tˤ r iː q ɑː
طحين	tˤ a ħ iː n
ایران‌ویج	e ɾ ɑː n v e d͡ʒ
اصیل	ə s iː l
چوٹکی	t͡ʃʰ ʊ ʈ k iː
לשוני	l e ʃ o n i
ܣܒܝܪܐ	s ə w iː r ɑː
رازی	ɾ ɑː z iː
عقلۍ	ʕ q l ə i̯
ܬܦܨܝܠܐ	t a p sˤ iː l ɑː
کارگزاری	k a: r ɡ ʊ z a: r iː
وروڼو	w ə r uː n uː
نائٹ	n aɪ t
زیرقیادت	z i: r q iː a: d t
سندره	s n d r e
بوذا	b uː ð aː
ܣܦܩܐܝܬ	s ɑ pː q ɑː ʔ iː t
فرمانده	f a ɾ m ɑː n d i h
قونیه	ɢ u n i j a
شاهزادگان	ʃ ɑː h z ɑː d e ɡ ɑː n
کودنڈا	k ʊ d n ʊ n d a:
آخر	ʔ aː x a r
حاء	ħ aː ʔ
ܢܡܣܐ	n ɪ m s aː
اصول	ʊ s uː l
مورې	m w r e
موټرو	m w ʈ r w
ܗܕܟܐ	h a d x ɑː
تنازع	t ə n a: z oː ʔ
لكمة	l a k m a
کیږی	k i ʝ i
ځړول	t͡s ɽ u l
دجلة	d i d͡ʒ l a
حضور	h o z uː ɾ
مصروف	m ʊ s ɽ ʊ f
ومومئ	w m u m ʔ i
خبری	x a b a ɾ j a
زوو	z v oː
ܫܥܫ	ʃ ɑː ʔ ɪ ʃː
خزامى	x u z aː m aː
ريح	r a j j a ħ a
ململ	m ə l m ə l
مستنقع	m u s t a n q a ʕ
رنگین	ɾ a n ɡ i n
سخت	s a x t
سدر	s a d i r a
یوه	j o ə
مرگ	m a ɾ ɡ
عربز	ʕ a r b a z
حلتيث	ħ i l t iː θ
سیکھنا	s iː kʰ n a:
پدیده	p ə d i d ə h ə
ܟܘܬܐ	k oː t ɑː
הלחם	h e l χ e m
مخره	m x r ə
مار	m ɑː ɾ
پھاڑ	pʰ a: ɽ
سرو	s ə r o
چاق	t͡ʃ ɑː ɢ
ܡܐܣܐ	m ə ʔ a s s eː
محافظه‌کار	m o h ɑː f e z e k ɑː ɾ
جنائي	d͡ʒ i n aː ʔ i j j
کفر	k ə f ə r
مبارز	m u b aː r a z
دهان	d a h ɑː n
بونا	b o n ɑ
ناژو	n ɑː ʒ uː
دماغکې	d m ɑ ɣ k ɛ
قلقديس	q a l q a d iː s
ܓܝܠܣܬܐ	d͡ʒ iː l ɑ sː t aː
ܡܢܫܐ	m a n ʃ eː
غزہ	ɣ ə z ə
تعريف	t a ʕ r iː f
علف	ʔ a l a f
ܡܗܡܐ	m a h m eː
ܬܘܓܘ	t oː ɣ oː
ملف	m i l a f f
باروق	b aː r uː q
ولسوالۍ	w ə l ə s w ɑ l ə i
شماریدن	ʃ o m ɑː ɾ iː d a n
لتھوینیا	l ɪ tʰ ʊ eː n ɪ j a:
ܡܣܚܪ	m a s x ɪ r
جبت	d͡ʒ i b t
نیا	n ə j a:
خبر	x a b a ɾ
كثيراء	k a θ iː r aː ʔ
ܬܠܝܬܝܐ	t l iː t ɑː j ɑː
ܡܬܡܕܢܚܢܐ	m ɪ θ m a d n ə x ɑː n ɑː
بركار	b i r k aː r
مشغول	m a ʃ ɢ u l
سيف	s a j f
سليلة	s a l iː l a
ریکٹر	ɽ eː k t ɽ
ميېر	m j e r
إحاطة	ʔ i ħ aː tˤ a
اېکوادور	e k w ɑ d o r
غرض	ɣ ʊ r d z
حسینقلی	h o s e j n ɢ o l iː
ܬܠܐ	t ɑː l eː
خلنجان	x a l a n d͡ʒ aː n
گوشواره	ɡ oː ʃ v ɑː ɾ a
اطالیہ	ɪ t a: l ɪ j a: ɦ
ܓܘܢ	ɡ o nː
چاشت	t ʃ ɑː ʃ t
فراموشی	f a ɾ ɑː m oː ʃ iː
ܬܘ	t ɑ w
آویختن	ɑː v e x t a n
تجربې	t j r b e
کھنکنا	kʰ ə n ə k n a:
زیستن	z i s t a n
طاقتور	t a: q t ʋ ɔː ɽ
نبيه	n a b iː h
فعل	f a ʕ a l a
چنانچہ	t͡ʃ ʊ n a: n t͡ʃ a:
ابتر	ə b t ə ɽ
תשע	t e j ʃ a
چھونا	t͡ʃʰ uː n a:
بازو	b ɑ z u
کاغذ	k ɑː ɢ a z
استحم	i s t a ħ a m m a
بامداد	b ɑː m d ɑː n
پوهنه	p o h ə n a
محل	m a ħ a l l
سدارة	s a d aː r a
پالایش	p ɑː l ɑː j i ʃ
ہار	ɦ a: ɽ
قصه	ɢ i s s a
چاہت	t͡ʃ a: ɦ ə t
گلو	ɡ ʊ l oː , ɡ ʊ l uː , ɡ ə l uː
خواړه	x w ɑ ɻ a
ܐܦܓܢܣܛܢ	ʔ a f ɣ ɑː n ɪ s tˤ ɑː n
چوب	t͡ʃ oː b
خوشنویسی	x o ʃ n e v iː s iː
مرددوش	m a r d a d uː ʃ
دهیار	d e h j ɑː ɾ
يوازېتو	j o ɑ z e t o
اشترخار	o ʃ t o ɾ x ɑː ɾ
ژوپوهنه	ʒ o p o h ə n a
انحراف	ɪ n ɦ ɪ r a: f
کیمیاوی	k i m i ɑ w i
ـیسم	i s m
کبانو	k b ɑ n o
توسع	t a w a s s a ʕ a
کشیش	k a ʃ i ʃ
ترشی	t o ɾ ʃ iː
ܢܣܟ	n ɑː s e xː
کښتاندونیزیا	k ʂ t ɑː n d o n iː z iː ɑː
بھالو	bʰ a: l uː
خدا	x o d ɑː
بلاآواز	b a l a: a: ʋ a: z
بلکانټینر	b l k ɑː n t iː n r
لکهګرم	l ə k ə ɡ r m
تيش	t iː ʃ
اڑھا	a ɽʰ a:
بشیر	b ə ʃ iː ɽ
زینت	z eɪ n ə t
زمن	z a m a n
آزمایش	ɑː z m ɑː j i ʃ
خالو	x ɑː l uː
ڈھانک	ɖʰ a: n k
ونشي	w n ʃ i
ازاں	a: z a: n
ببر	b a b ɾ
ܫܥܬܐ	ʃ eː θ ɑː
أيهقان	ʔ a j h a q aː n
صغير	sˤ a ɣ iː r
زوئلا	z w ə l ɑ
اینٹورپن	ɛː n ʈ ʋ ə ɽ p ə n
مرحبا	m a r ħ a b aː
مسلې	m ə s l e
رهينة	r a h iː n a
התרפא	h i t ʁ a p e
ܚܝܐ	x a h eː
دھونا	dʰ uː n a:
صحیح	s ə ɦ iː
جیش	d͡ʒ æː ʃ
شګو	ʃ ɡ o
شاكرة	ʃ aː k i r a
سړي	s ə ɽ i
ہنگامہ	ɦ ʊ ŋ ɡ a: m ə
زحف	z a ħ a f a
ہدیۂ	ɦ ə d iː ə
لجن	l a d͡ʒ a n
بہار	b ə ɦ a: ɽ
دفاع	d e f ɑː ʔ
ܐܫ	ʔ ɪ ʃ
سلطنت	s ə l t ə n ə t
ژرف‌تر	ʒ a ɾ f t a ɾ
گنجشک	ɡ o n d͡ʒ e ʃ k
פי	p i
ثبت	s a b t
تمھارا	t ʊ m a: ɽ a:
חורף	χ o ʁ e f
کتب	k o t o b
گدا	ɡ ʊ d a:
توکي	t o k i
الآن	a l ʔ aː n a
شركة	ʃ a r i k a
استئمارة	i s t i ʔ m aː r a
متھرا	m ə tʰ ʊ ɽ a:
دلال	d a l l ɑː l
مباین	m ʊ b a: j n
خوراک	x o ɾ ɑː k
ٹھیس	ʈʰ iː s
کال	k ɑ l
مناسبت	m o n ɑː s e b a t
انوپ	a: n uː p
وضاحت	w ə z ɑ h ə t
أركن	ʔ a r k u n
جمله	d͡ʒ o m l e
شارجہ	ʃ a: ɽ d͡ʒ a: ɦ
نړۍ	n ə ɽ ə i
خودنویس	x o d n e v iː s
درنکړم	d r n k ɽ m
نیوه	n i o h e
جپنا	d͡ʒ ə p n a:
ترگمان	t a ɾ ɡ u m ɑː n
چپل	t͡ʃ ə p ə l
ویه	uː j e
کړل	k ɻ ə l
ژبپوهنه	ʒ ə b p o h ə n a
طلاق	t a l ɑː ɢ
تخریب	t̪ ə x r iː b
ܐܘܫܥܢܐ	o ʃ a ʕ n ɑː
پوهیږي	p o h i ʐ i
شورا	ʃ o o ɾ ɑː
چارې	t͡ʃ ɑ ɾ ɛ
ܝܡܝܢܐ	j a m m iː n ɑː
که	k e
عمیق	a m iː ɢ
שפשף	ʃ i f ʃ e f
اليسع	a l j a s a ʕ
سوپر	s uː p ɪ ɽ
ملیون	m l iː uː n
ناقص	n ɑː ɢ i s
سړى	s ʊ r i
زامبه	z ɑ m b a
تابع	t ɑː b i ʔ
ظهور	z o h uː ɾ
پښتنه	p a x t̪ a n a
بین‌المللی	b a j n a l m i l a l iː
عيش	ʕ a j ʃ
ماہ	m aː ɦ
ܫܠܡܐ	ʃ a l m ɑː
کوي	k o w i
رومی	ɾ oː m iː
ܥܛܡܐ	ʔ a tˤ m a
جلا	d ʒ ə l ɑ
گذاشتن	ɡ o z ɑː ʃ t a n
طائر	tˤ aː ʔ i r
جعضيض	d͡ʒ a ʕ dˤ iː dˤ
شرشيري	ʃ a r ʃ iː r i j j
نار	n ɑː ɾ
מקסיקו	m ɛ k s i k ɔ
بام	b ɑ m
سرو	s r o
اندازه	a n d ɑː z a
خلکو	x l k o
دقیق	d q i q
تكعيب	t a k ʕ iː b
بربخ	b a r b a x
ܡܝܟܐܝܠ	m iː x ɑː j e lː
ܩܕܡܝܬܐ	q a m eː θ a
پې	p e
موټرد	m o ʈ r d
داد	d ɑː d
امام	ɪ m a: m
غافت	ɣ aː f a t
لٹیرا	l ʊ ʈ iː ɽ a:
שחק	s a χ a k
نیول	n iː u l
لوڅ	l u t͡s
غلام	ɣ l ɑː m
ܬܠܦܐ	t ɪ l p ɑː
ܟܘܪ	t͡ʃˤ aː w ɪ r
ورکړحمي	w ɾ k ɾ ʔ h m i
گرجا	ɡ ɪ ɽ d͡ʒ a:
ܐܢܐ	ɑ n n e
چریک	t͡ʃ a ɾ i k
חבש	x ɔ v a ʃ
بےجا	b eː d͡ʒ a:
حکیم	h k i m
فرازمینی	f a ɾ ɑː z a m iː n iː
عنوان	o n v ɑː n
زرشك	z a r r a ʃ k
ܒܥܐ	b a ʔ eː
اچھا	ə t͡ʃ t͡ʃʰ a:
ديك	d iː k
בשל	b ə ʃ e l
شکلو	ʃ k l o
ܡܚܡ	m a x x ɪ m
گلہری	ɡ ɪ l ə ɦ ɽ iː
توفيق	t a w f iː q
גוף	ɡ u f
שקר	ʃ e k e r
انزعاج	i n z i ʕ aː d͡ʒ
אדם	a d a m
ܓܢܓܙ	d͡ʒ a n d͡ʒ ɪ z
صحاف	sˤ a ħ ħ aː f
חדש	χ a d a ʃ
بیابان	b i j ɑː b ɑː n
ܬܪܐ	t ɑː r eː
ܛܠܥ	tˤ aː l ɪ ʕ
השפעה	h a ʃ p a ŋ a
جاہی	d͡ʒ a: ɦ iː
ܫܡܐ	ʃ ɪ m m aː
حکومت	h k ʊ m t
طلاق	tˤ a l aː q
سرگرم	s ə ɽ ɡ ə ɽ m
نيابة	n i j aː b a
څاروى	t͡s ɑ r w a ɪ
خراسان	x o ɾ ɑː s ɑː n
آخرالزماں	a: x ɪ r a l z ʊ m a: n
آئٹمس	a: ɪ ʈ m s
بینالاقوامی	b eɪ n a: l a: q ʋ a: m iː
معنی	m uː ʕ n iː
اېموجي	e m o d͡ʒ i
الصين	a sˤ sˤ iː n
ماسٹر	m a: s ʈ ə ɽ
وړ	w ə ɻ
عنزروت	ʕ a n z a r uː t
זמזומילה	z i m z u m i l a
ادھو	a dʰ oʊ
رسېږئ	r s e ʐ ʔ
لازم	l ɑː z i m
ܡܣܙܓܪ	m ə s a z ɡ ɪ r
غالب	ɢ ɑː l e b
ܬܪܢܓܘܠܬܐ	t a r n u lː t ɑː
بارکزی	b ɑ r ə k z a i
آسيوي	ʔ aː s i j a w i j j
تنديل	t a n d iː l
מזל	m a z a l
تعزب	t a ʕ a z z a b a
ہلاکت	ɦ ɛː l a: k t
بركة	b a r a k a
ܗܘܝܐ	h ɑː w ɑː j ɑː
قبضہ	q ə b z ə
توان	t o ɑ n
بعث	b a ʔ s
ܫܟܠܐ	ʃ ɪ k l ɑː
ܡܒܝܢ	m a b j ɪ n
کړي	k ə ɽ i
منڈا	m ʊ n ɖ a:
پیښه	p iː x a
بنین	b e n iː n
ܛܦܝܬܐ	tˤ a p eː θ a
پراڈکٹ	p ɽ aː ɖ a k ʈ
خارج	x ɑː ɾ i d͡ʒ
شو	ʃ ʊ
مغز	m ɣ z
ܬܝܡܢܐ	t a j m n ɑː
بیرق	b a j ɾ a ɢ
مسلحانه	m o s a l l a h ɑː n e
پژوهش	p a ʒ u h i ʃ
زوج	z a v d͡ʒ
سیاه	s i j ɑː h
قرمزی	q ɪ ɽ m ɪ z iː
چی	t͡ʃ iː
برسر	b ə r s ə r
ܡܚܒܪ	m a x b ɪ r
خويندو	x w i n d o
רחוב	r ə ħ oː v
هنا	h u n aː
بنفشی	b ə n ə f ʃ iː
بی‌صراط	b e s i ɾ ɑː t
صدی	s ə d iː
لهشکه	l h ʃ k h
ابادول	a b ɑ d̪ a w ə l
مطالعه	m ə t̪ ɑ l ɛ h ə
خنصور	x a n sˤ uː r
کاګل	k ɑ ɡ ə l
تبا	t ə b ɑ
