ܚܛܗܐ	ħ tˤ aː h a
ܣܗܕ	s ɑː h e dː
ܕܪܢܦܝܣܐ	d a r n ɑː f iː s ɑː
ܥܘܣܪܐ	ʕ u s s ə r ɑː
ܣܠܐ	s a l l ɑː
ܓܠܦ	d͡ʒ aː l e p
ܣܘܟܢܐ	s ɑ w k ɑː n ɑː
ܒܪܩܘܒܠ	b a r q uː w l
ܚܘܒܐ	x u b b ɑː
ܐܚܐ	ʔ a x ɑː
ܚܘܛܒܪܩܐ	x u tˤː b a r q ɑː
ܬܪܥܣܪ	t r eː s a r
ܚܙܕܓ	x a z d ɪ d͡ʒ
ܣܟܘܛܝܐ	s k o tˤ i jː j ɑː
ܚܐܪ	x ɑː j e rː
ܒܣܝܡܬܐ	b a s i mː t ɑː
ܣܘܗܕܐ	s o hː d ɑː
ܡܟܡܥܬܐ	m a t͡ʃ m a ʕː t ɑː
ܡܓܪܒܢ	m ɡ a r v ɪ n
ܫܥܬ	ʃ a ʔ ɪ θ
ܩܢܐ	q ɑː n eː
ܥܪܝܨܘܬܐ	ʕ ə r iː sˤ uː θ ɑː
ܡܐܪܐ	m a ʔ r ɑ
ܡܢܬܐ	m ə n ɑː t ɑː
ܬܟܠܘܢܐ	t ɪ k l oː n aː
ܣܩܠܩ	s a q l ɪ q
ܡܐܢܠ	m ʔ a n n ɪ l
ܠܒܨܝܪ	l a w sˤ i rː
ܙܘܥܢܝܐ	z a w ʕ ɑː n ɑː j ɑː
ܬܦܩ	t aː f ɪ q
ܥܣܪ	ʔ ɪ s s a r
ܠܣܘܛܘ	l eː s oː tˤ oː
ܐܙܝܕܝܐ	ʔ eː z iː ɑː j ɑː
ܫܘܝܘܬܐ	ʃ oː j uː t ɑː
ܟܝܡܝܐ	k iː m iː j ɑː
ܒܪܙܝܠ	b r ɑː z i lː
ܒܕܩܬ	b ɑ dː q e tː
ܐܬܝܢܐ	ʔ ɑː θ j ɑː n ɑː
ܪܦܦܐ	r ə p ɑː p ɑː
ܣܥܪܬܐ	s ə ʕ a r t ɑː
ܡܛܠܬܐ	m ə tˤ a l l ə θ ɑː
ܡܨܘܪܢܝܬܐ	m ə sˤ oː r ɑː n iː t ɑː
ܩܪܘܫܬܐ	q ə r u ʃ t ɑː
ܡܣܡܐ	m a s m eː
ܒܨܠܐ	b ɪ sˤ l aː
ܚܕܥܣܝܪܝܐ	x a d ɪ ʕ s iː r ɑː j ɑː
ܪܚܩܐ	r ɪ x q ɑː
ܓܝܒܘܬܝ	j iː b uː t iː
ܐܝܣܪܬܐ	ʔ iː s ɑ rː t ɑː
ܨܒܥܐ	sˤ a b b ɑː ʕ ɑː
ܡܥܓܠܢܐ	m ə ʕ a ɣ l ɑː n ɑː
ܚܛܝܬܐ	x a tˤ tˤ aː j ə t aː
ܡܥܠܬܐ	m a ʕ ʕ a l t ɑː
ܬܠܐ	t ɑː l eː
ܓ̰ܘܪܒܐ	d͡ʒ u r b ɑː
ܬܪܘܕܐ	t a r w aː ð aː
ܙܓܪ	z ɑ ɣː e rː
ܦܨܚ	p aː sˤ ə x
ܚܫܘܠܐ	x aː ʃ oː l a
ܒܣܝܡܐ	b a s s iː m aː
ܚܙܝܘܢܐ	x ɪ z j oː n aː
ܦܢܕܩܐ	p ɪ n d ə q ɑː
ܝܬܘܢ	ʔ iː t o n
ܡܚܪ	m ə x ɑ rː
ܨܘܪ	sˤ o rː
ܡܢܚ	m a n n ɪ x
ܓܪܓ	d͡ʒ ɑː r a d͡ʒ
ܥܝܪܐ	ʕ iː r ɑː
ܡܠܘܦܐ	m a l uː p eː
ܠܟܣܝܩܘܢ	l ɪ k s iː q o nː
ܢܨܒ	n aː sˤ u
ܡܘܚܒܐ	m u x x ɪ b b ɑː
ܨܦܪܐ	sˤ a p p ɑː r ɑː
ܣܡܘܩܐ	s m oː q aː
ܦܬܐ	p aː θ ɑː
ܒܘܥܕܐ	b u ʕ d aː
ܩܪܣܝܐ	q eː r ɑ sː j ɑː
ܩܘܡܐ	q oː m ɑː
ܪܕܐ	r ɑː d eː
ܚܒܫ	x ɑː w e ʃː
ܡܛܪܝܬܐ	m a tˤ tˤ ɑː r iː θ ɑː
ܥܒܕܝܫܘܥ	ʔ oː d iː ʃ o ʔ
ܗܕܝ	h a d iː
ܛܒܝܥܐ	tˤ w i ʔ a
ܚܠܠܢܬܐ	x a l l i l ɑ nː t ɑː
ܚܐܪܘܬܐ	x iː r uː t ɑː
ܣܦܩܐܝܬ	s ɑ pː q ɑː ʔ iː t
ܐܟܘܡܬܐ	k a m t a
ܒܨܝܪܘܬܐ	b ə sˤ iː r uː θ ɑː
ܝܘܠܦܢܐ	j u l p ɑː n ɑː
ܛܘܪܝܐ	tˤ uː r ɑː j ɑː
ܫܘܐܠܐ	ʃ u ʔ ɑː l ɑː
ܫܛܚܐ	ʃ ɪ tˤ x aː
ܡܢܬܡܠܝ	m n ɑ θː m ɑː l iː
ܡܙܕܥܢܐ	m a z d ə ʕ ɑː n ɑː
ܡܟܬܒܬܐ	m a x t o t ɑː
ܛܢܟܐ	tˤ a n k ɑː
ܦܢܟܐ	p a ŋ k ɑː
ܩܝ	q a j
ܐܒܪܗܡ	ʔ a v r ɑ h ɑ m
ܡܚܐ	m a x h eː
ܒܪܣܡ	b a r s ɪ m
ܫܪܝܟܘܬܐ	ʃ a r r iː k uː t ɑː
ܚܘܣܪܢܐ	x u s r ɑː n ɑː
ܓܪܒܝܐ	d͡ʒ a r b ə j ɑː
ܡܝܬ	m i θː
ܣܝܕ	s ɑː j e dː
ܓܢܒܪܐ	ɡ a b b aː r aː
ܡܕܢܚ	m a ð n a x
ܡܚܒܪ	m a x b ɪ r
ܣܘܕ	s a w w ɪ d
ܬܚܘܬ	t ə x oː θ
ܚܘܛܡܠܠܐ	x uː tˤ ɑː m a l l ɑː l ɑ
ܐܣܛܘܢܝܐ	ʔ ɪ s tˤ oː n iː j ɑː
ܐܢܐ	ɑ n n e
ܬܠܝܬܝܐ	t l iː t ɑː j ɑː
ܡܪܥܝܢܐ	m a r ʕ ə j aː n aː
ܕܦܬܪܐ	d i p t ɑː r ɑː
ܣܓܝܐܐ	s a ɡ ɡ iː ʔ ɑː
ܫܘܪܛܐ	ʃ u r tˤ ɑː
ܒܩܘܪܒܐ	b ə q u r b ɑː
ܒܠܘܢܐ	b ɑː l oː n ɑː
ܚܪܝܦܐ	x a r r iː p ɑː
ܝܗܘܕܝܐ	h uː d aː j aː
ܩܗܐ	q a h eː
ܣܒܐ	s ɑː v ɑː
ܨܚܬܝܢ	s a x t e nː
ܡܫܬܘܬܐ	m ɪ ʃ t uː t ɑː
ܛܠܦܣܢܐ	tˤ l a p s ɑː n eː
ܕܒܘܫܐ	d a b b uː ʃ ɑː
ܫܗܐ	t͡ʃ a h eː
ܬܪܝܢܐ	t r a j j ɑː n ɑː
ܡܬܚ	m ɑː t e xː
ܡܚܘܒܐ	m a x uː b eː
ܡܐܝܟ	m a x
ܟܢܘܢܐ	k a n uː n eː
ܩܦܠܐܘܢ	q iː p ɑː l iː j u n
ܡܚܙܐ	m a x z eː
ܬܪܢܓܘܠܬܐ	t a r n u lː t ɑː
