تخلص	t a x a l l a sˤ a
فراء	f a r aː ʔ
محترف	m u ħ t a r i f
وردة	w a r d a
بوصير	b uː sˤ iː r
عادة	ʕ aː d a
فور	f a w r
كفالة	k a f aː l a
توسع	t a w a s s a ʕ a
صحح	sˤ a ħ ħ a ħ a
زربطانة	z a r b a tˤ aː n a
فرصاد	f i r sˤ aː d
سعال	s u ʕ aː l
رصاصة	r a sˤ aː sˤ a
كمثراة	k u m m a θ r aː h
أشيب	ʔ a ʃ j a b
ملاقاة	m u l aː q aː h
النمسا	a n n a m s aː
جزع	d͡ʒ a z a ʕ a
سلوى	s a l w aː
السودان	a s s uː d aː n
انتشار	i n t i ʃ aː r
باقلاء	b aː q i l aː ʔ
أشابة	ʔ u ʃ aː b a
انكتاب	i n k i t aː b
حسناء	ħ a s n aː ʔ
بورسودان	b uː r s uː d aː n
استقلال	i s t i q l aː l
وثيق	w a θ iː q
أغسطس	ʔ a ɣ u s tˤ u s
ورشنوفة	w a r ʃ a n uː f a
أنتم	ʔ a n t u m
برقية	b a r q i j j a
مقارنة	m u q aː r a n a
مقدار	m i q d aː r
أذاع	ʔ a ð aː ʕ a
فرفيري	f i r f iː r i j j
مساواة	m u s aː w aː h
استمارة	i s t i m aː r a
عزيز	ʕ a z iː z
معبر	m a ʕ b a r
تاريخ	t aː r iː x
قذيفة	q a ð iː f a
فتة	f a t t a
شبح	ʃ a b a ħ
صخف	sˤ a x a f a
سمكة	s a m a k a
خسارة	x a s aː r a
سرنديب	s a r a n d iː b
مباراة	m u b aː r aː h
خزز	x u z a z
تسريب	t a s r iː b
افتخر	i f t a x a r a
الصين	a sˤ sˤ iː n
يرقة	j a r a q a
ناعورة	n aː ʕ uː r a
ليلتذاك	l a j l a t a ð aː k a
صاج	sˤ aː d͡ʒ
اتهم	i t t a h a m a
جنطيانا	d͡ʒ a n tˤ i j aː n aː
متسول	m u t a s a w w i l
تصوير	t a sˤ w iː r
اضطهاد	i dˤ tˤ i h aː d
مقاس	m a q aː s
شاشية	ʃ aː ʃ i j j a
هيبة	h a j b a
مغلق	m i ɣ l a q
بيوت	b u j uː t
شعبية	ʃ a ʕ b i j j a
تشهل	t a ʃ a h h a l a
صأكة	sˤ a ʔ k a
مستنقع	m u s t a n q a ʕ
قندهار	q u n d u h aː r
إقامة	ʔ i q aː m a
صخيد	sˤ a x iː d
غالب	ɣ aː l i b
ميز	m a j j a z a
عنى	ʕ a n aː
تلم	t a l a m
غرفة	ɣ u r f a
شيء	ʃ a j ʔ
هطلس	h a tˤ a l l a s
خنزير	x i n z iː r
مخطئ	m u x tˤ i ʔ
نادل	n aː d i l
غلب	ɣ a l a b
آسيوي	ʔ aː s i j a w i j j
لبوس	l a b uː s
استحضر	i s t a ħ dˤ a r a
دردق	d a r d a q
فلو	f a l u w w
حرمان	ħ i r m aː n
رأسمال	r a ʔ s m aː l
أنتما	ʔ a n t u m aː
برمج	b a r m a d͡ʒ a
أنبوب	ʔ u n b uː b
واحدة	w aː ħ i d a
عقدة	ʕ u q d a
كهنوت	k a h a n uː t
