אפיקורוס	e p i k o r o s
קשישא	k ʃ i ʃ ɑ
אור	ʔ o ʁ
מזל	m a z a l
אלוה	e l o a
בת	b a t
לו	l o
אגרוף	e ɡ ʁ o f
מברג	m a v ʁ e ɡ
שלף	ʃ a l a f
עצלן	a t s l a n
שק	s a k
קרע	k a ʁ a ʕ
מרשתת	m i r ʃ e t e t
כדורעף	k a d u ʁ a f
חורפי	χ o ʁ f e i̯
זן	z a n
כולם	k u l a m
יין	j a j i n
לחם	l e χ e m
תיירותי	t a j a ʁ u t i
הסתיר	h i s t i ʁ
מנוחה	m e n u χ a
תפר	t a f a r
חו״ל	χ u l
צייר	t s a j a ʁ
קן	k e n
בשעטו״מ	b e ʃ a a t o v a u m u t s l a χ a t
שיחה	s i χ a
עוף	o f
אורי	o ʁ i
אסנת	a s ə n a t
זהב	z a h a v
בהמות	b e h e m o t
אבנט	ʔ a v n ɛ t
לילה	l a j l a
יהדות	j a h a d u t
טלפן	t i l f e n
מאוד	m e o d
חיטה	χ i t a
הצהיר	h i t͡s h i ʁ
מלחין	m a l χ i n
ח	χ e t
צריך	s a r i x
לישון	l i ʃ o n
שבע	ʃ a β a ʕ
אליך	ʔ e l a j i χ
שרב	ʃ a ʁ a v
מושלם	m u ʃ l a m
מלכה	m a l k a
קשת	k a ʃ a t
חבש	x ɔ v a ʃ
הפעם	h a p a ʔ a m
נלחם	n i l χ a m
הוא	h u
שש	ʃ e ʃ
חטיף	χ a t i f
יובל	j o v e l
אנחנו	ʔ a n a χ n u
זבל	z e v e l
יונה	j o n a
שעה	ʃ a ʔ a
אשפה	a ʃ p a
פישט	p i ʃ ɛ t
גיטרה	ɡ i t a ʁ a
אפרטהייד	a p a ʁ t h a j d
קטל	k a t a l
קנה	k a n a
דעת	d a ʔ a t
זברה	z ɛ b ʁ a
חנון	χ n u n
פיזי	f i z i
מחשבון	m a χ ʃ e v o n
מקום	m a k o m
קומזיץ	k u m z i t͡s
אנגלית	a n ɡ l i t
צרפת	t s a ʁ f a t
בחוץ	b a x u t͡s
בקבוק	b a k b u k
דבק	d a v a k
תות	t u t
הורדוס	h o r d o s
עדכון	i d k u n
אדוני	a d o n a j
רך	ʁ a χ
קניון	k a n j o n
סינכרן	s i n k r e n
חנות	ħ aː n uː θ
זומבי	z o m b i
אדריכל	a d ʁ i χ a l
דיו	d i j o
רוק	r a w w aː q
חנוכה	ħ a n u k k aː
אלא	e l a
ויקרא	v a j i k ʁ a
נאט״ו	n a t o
מחר	m ɑ χ ɑ r
מהיר	m a h i ʁ
מאות	m e ʔ o t
קול	k o j l
השואה	h a ʃ ɔ ʔ a
גרש	ɡ e ʁ e ʃ
אל	ʔ a l
התאבדות	h i t ʔ a b d u t
חסד	ħ e s e d
אח	a χ
שיר	ʃ i ʁ
אשמה	a ʃ m a
מיקרופון	m i k ʁ ɔ f ɔ n
התרפא	h i t ʁ a p e
שכח	ʃ a χ a χ
מתי	m a t a j
ידיד	j a d i d
שמן	ʃ a m a n
הבין	h ɛ v i n
צימוקים	s i m u k i m
צדק	s e d e k
מצא	m a t s a
אהוב	ʔ a h u v
אג״ח	ʔ a ɡ a x
אחדות	a χ d u t
אנו	ʔ a n u
תועבה	t o ʔ e v a
לשון	l a ʃ o n
ויקיפדיה	v i k i p e d j a
גולן	ɡ ɔ l a n
חדר	χ a d a ʁ
ארמני	a r m e n i
לכאן	l ə k ɑ n
מתודה	m e t o d a
ערמון	ʕ a r m o n
יצר	j a t s a ʁ
ירח	j a ʁ ɛ a χ
הזדמנות	h i z d a m n u t
על	a l
ריפוד	r i p u d
הזכיר	h i z k i ʁ
לשמור	l i ʃ m o ʁ
ערס	ʔ a ʁ s
אשור	a ʃ u ʁ
מיכאל	m i χ a ʔ e l
שוחד	ʃ o x a d
גם	d ʒ æ m
ברור	b a ʁ u ʁ
מרור	m a ʁ o ʁ
סופ״ש	s o f a ʃ
רגש	ʁ ɛ ɡ ɛ ʃ
ש״ח	ʃ a χ
בבלי	b a v l i
קדשנו	k a d ɨ ʃ e n u
ובכן	u v χ ɛ n
הראה	h ɛ ʁ ʔ a
חתול	x u s i l
קין	k a j i n
בחר	b a χ a ʁ
עשים	a ʃ i m
ציפור	t͡s i p o ʁ
פקיד	p a k i d
שד	ʃ a d
ספרדית	s f a ʁ a d i t
כחול	k a χ ɔ l
עולם	o l a m
רימון	ʁ i m o n
