съжалявам	s ɐ ʒ ɐ lʲ a v ɐ m
плюто	p lʲ u t o
небесен	n ɛ b ɛ s ɛ n
гора	ɡ o r a
петдесет	p ɛ d d ɛ s ɛ t
автоблокировка	a f t o b ɫ o kʲ i r ɔ f k ɐ
подробност	p o d r ɔ b n o s t
помислям	p o m i s lʲ ɐ m
зрете	z r ɛ t ɛ
узаконявалият	u z ɐ k o nʲ a v ɐ lʲ i j ɐ t
окрада	o k r ɐ d ɤ
временен	v r ɛ m ɛ n ɛ n
восхищение	v o s xʲ i ʃ t ɛ n i ɛ
ужасия	u ʒ ɐ s i j ɐ
трудоемък	t r u d o ɛ m ɐ k
бавно	b a v n o
павлака	p a v ɫ ɐ k ɐ
мрат	m r ɤ t
списание	s p i s a n i ɛ
понапека	p o n ɐ p ɛ k ɤ
радио	r a d i o
юпитер	j u p i t ɛ r
нетопир	n ɛ t o p i r
забоде	z ɐ b ɔ d ɛ
анализ	ɐ n a lʲ i s
андора	ɐ n d ɔ r ɐ
продам	p r o d a m
лачен	ɫ a t͡ʃ ɛ n
разсед	r ɐ s s ɛ t
глух	ɡ ɫ u x
животи	ʒ i v ɔ t i
селище	s ɛ lʲ i ʃ t ɛ
метър	m ɛ t ɐ r
тарос	t a r o s
сляп	s lʲ a p
агробиолог	a ɡ r o b i o ɫ ɔ k
прегръщам	p r ɛ ɡ r ɤ ʃ t ɐ m
сърцат	s ɐ r t͡s a t
тъпак	t ɐ p a k
колата	k o ɫ a t ɐ
стръмен	s t r ɤ m ɛ n
аршин	ɐ r ʃ i n
събирам	s ɐ b i r ɐ m
октан	o k t a n
безименен	b ɛ z i m ɛ n ɛ n
аджемия	ɐ d ʒ ɛ m i j ɐ
поетеса	p o ɛ t ɛ s ɐ
ама	a m ɐ
гара	ɡ a r ɐ
диван	d i v a n
обичай	o b i t͡ʃ a j
спасяем	s p ɐ sʲ a ɛ m
директор	d i r ɛ k t o r
абдикиралата	ɐ b d i kʲ i r ɐ ɫ ɐ t ɐ
здравеняк	z d r ɐ v ɛ nʲ a k
сутиен	s u t i ɛ n
лабилен	ɫ ɐ b i lʲ ɛ n
назова	n ɐ z o v a
врабче	v r ɐ p t͡ʃ ɛ
агне	a ɡ n ɛ
икона	i k ɔ n ɐ
чешма	t͡ʃ ɛ ʃ m a
албания	ɐ ɫ b a n i j ɐ
викам	v i k ɐ m
автомотриса	a f t o m o t r i s ɐ
извикам	i z v i k ɐ m
корист	k ɔ r i s t
шибам	ʃ i b ɐ m
сияхте	s i j a x t ɛ
узаконявайте	u z ɐ k o nʲ a v ɐ j t ɛ
правист	p r ɐ v i s t
челяд	t͡ʃ ɛ lʲ ɐ t
светиня	s v ɛ t i nʲ ɐ
дреха	d r ɛ x ɐ
скопие	s k ɔ p i ɛ
чуващият	t͡ʃ u v ɐ ʃ t i j ɐ t
получавам	p o ɫ u t͡ʃ a v ɐ m
обиталище	o b i t a lʲ i ʃ t ɛ
пя	pʲ a
плитък	p lʲ i t ɐ k
говорите	ɡ o v ɔ r i t ɛ
ангина	ɐ n ɡʲ i n ɐ
вероятно	v ɛ r o j a t n o
изневяра	i z n ɛ vʲ a r ɐ
празник	p r a z n i k
завлека	z ɐ v lʲ ɛ k ɤ
дърча	d ɤ r t͡ʃ ɐ
британия	b r i t a n i j ɐ
климатик	k lʲ i m ɐ t i k
юфки	j u f kʲ i
ястребов	j a s t r ɛ b o f
ваше	v a ʃ ɛ
пречупвам	p r ɛ t͡ʃ u p v ɐ m
джин	d ʒ i n
протоме	p r o t ɔ m ɛ
физичен	f i z i t͡ʃ ɛ n
прегиня	p r ɛ ɡʲ i nʲ ɐ
мама	m a m ɐ
лекарски	lʲ ɛ k ɐ r s kʲ i
целина	t͡s ɛ lʲ i n a
афера	ɐ f ɛ r ɐ
завеждам	z ɐ v ɛ ʒ d ɐ m
сиях	s i j a x
литература	lʲ i t ɛ r ɐ t u r ɐ
булка	b u ɫ k ɐ
белград	b ɛ ɫ ɡ r ɐ t
смъртник	s m ɤ r t n i k
гъз	ɡ ɤ s
социален	s o t͡s i a lʲ ɛ n
купи	k u p i
препека	p r ɛ p ɛ k ɤ
ушия	u ʃ i j ɐ
неголям	n ɛ ɡ o lʲ ɐ m
лютив	lʲ u t i f
хелий	xʲ ɛ lʲ i
декларация	d ɛ k ɫ ɐ r a t͡s i j ɐ
абдал	ɐ b d a ɫ
бей	b ɛ j
палав	p a ɫ ɐ f
томува	t o m u v ɐ
какъвто	k ɐ k ɤ f t o
наденица	n a d ɛ n i t͡s ɐ
ран	r a n
