безгрижен	b ɛ z ɡ r i ʒ ɛ n
mocsarakkal	m o t͡ʃ ɒ r ɒ kː ɒ l
пощаджия	p ɔ ʃ t ɐ d ʒ i j ɐ
концентрація	k ɔ n t͡s ɪ n t r ɑ t͡sʲ i j ɛ
distrat	d i s t r a t
выспрашиваемый	v i s p r a ʂ i v a j i m i j
разыгрывайся	r a z i ɡ r i v a j sʲ a
идолка	i d ɔ ɫ k a
лале	ɫ ɐ lʲ ɛ
protejez	p r o t e ʒ e z
мешкати	m ɛ ʃ k ɛ t ɪ
теоріями	t ɪ ɔ rʲ i j ɛ m ɪ
iubisem	j u b i s e m
гобеленами	ɡ a bʲ i lʲ e n a mʲ i
numiseră	n u m i s e r ə
дня	dʲ nʲ ɑ
ротор	r ɔ t ɔ r
kattints	k ɒ tː i n t͡ʃ
пронюхиваете	p r a nʲ u xʲ i v a j i tʲ e
отягощавши	a tʲ i ɡ a ɕː a f ʂ i
elégtől	ɛ l eː k t øː l
lucrului	l u k r u l u j
менеджмент	m ɛ n ɪ d͡ʒ m ɪ n t
расчепкан	r a ʃ t͡ʃ e p k a n
инфантилен	i n f ɐ n t i lʲ ɛ n
конфети	k ɔ ɱ f e t i
distrasem	d i s t r a s e m
darvai	d ɒ r v ɒ j i
незалежносте	n ɪ z ɛ ɫ ɛ ʒ n ɔ s t ɪ
agent	a d ʒ e n t
buh	b u h
avansat	a v a n s a t
відповідати	ʋ i d p ɔ ʋ i d ɑ t ɪ
разрознивши	r a z r o zʲ nʲ i f ʂ i
чудище	t͡ʃ u d ɪ ʃ t͡ʃ ɪ
глобя	ɡ ɫ o bʲ ɤ
rozmarin	r o z m a r i n
vorbirăm	v o r b i r ə m
гръм	ɡ r ɤ m
komédián	k o m eː d i j aː n
лантан	ɫ ɐ n t a n
ливада	lʲ i v a d ɐ
сделаешься	zʲ dʲ e ɫ a j i ʂ sʲ a
bélről	b eː rː øː l
acceleraserăm	a k t͡ʃ e l e r a s e r ə m
пробуджуватися	p r ɔ b u d͡ʒ u ʋ ɛ t ɪ sʲ ɛ
расположено	r a s p ɔ ɫ ɔ ʒ e n ɔ
мізерний	m i z ɪ r n ɪ i
полуподвала	p o ɫ u p a d v a ɫ a
сад	s a t
украшу	u k r a ʂ u
сачкуйте	s a t͡ɕ k u j tʲ e
пријателство	p r i j a t e ɫ s t v ɔ
расчленуван	r a ʃ t͡ʃ l e n u v a n
техерански	t e x e ɾ a n s k i
abandonarăți	a b a n d o n a r ə t sʲ
шаманка	ʃ a m a ŋ k a
богословы	b a ɡ a s ɫ o v i
прегрнат	p r e ɡ r̩ n a t
cumnat	k u m n a t
сприхав	s p r i x ɐ f
граніт	ɦ r ɛ nʲ i t
auditóriumok	ɒ u d i t oː r i j u m o k
луна	ɫ u n a
битка	b i t k a
погрязают	p a ɡ rʲ i z a j u t
Dunăre	d u n ə r e
плутократію	p ɫ u t ɔ k r ɑ tʲ i j u
самоцвета	s a m a t͡s vʲ e t a
выкорчёвывайте	v i k a r t͡ɕ o v i v a j tʲ e
поща	p ɔ ʃ t ɐ
греши	ɡ r e ʃ i
сколиоза	s k a lʲ i o z a
свалям	s v a lʲ ɐ m
совратили	s a v r a tʲ i lʲ i
tör	t ø r
