könyvecske	k ø ɲ v ɛ t͡ʃ k ɛ
oltalmatok	o l t ɒ l m ɒ t o k
tanúsítvány	t ɒ n uː ʃ iː t v aː ɲ
felülír	f ɛ l y l iː r
rézért	r eː z eː r t
szünetben	s y n ɛ d b ɛ n
felszínén	f ɛ l s iː n eː n
tapasztalata	t ɒ p ɒ s t ɒ l ɒ t ɒ
legszociálisabb	l ɛ k s o t͡s i j aː l i ʃ ɒ bː
Zala	z ɒ l ɒ
ölts	ø l t͡ʃ
somok	ʃ o m o k
szélesség	s eː l ɛ ʃː eː ɡ
kabala	k ɒ b ɒ l ɒ
fejeid	f ɛ j ɛ j i d
toboroz	t o b o r o z
bombarobbanás	b o m b ɒ r o bː ɒ n aː ʃ
legrokonszenvesebb	l ɛ ɡ r o k o n s ɛ ɱ v ɛ ʃ ɛ bː
talpak	t ɒ l p ɒ k
övének	ø v eː n ɛ k
távokon	t aː v o k o n
füröszt	f y r ø s t
létszámú	l eː t s aː m uː
papucsaid	p ɒ p u t͡ʃ ɒ j i d
költségtervek	k ø l t͡ʃ eː k t ɛ r v ɛ k
énekről	eː n ɛ k r øː l
ruténium	r u t eː n i j u m
csoportos	t͡ʃ o p o r t o ʃ
fölhagy	f ø l ɦ ɒ ɟ
véts	v eː t͡ʃː
marokkóiak	m ɒ r o kː oː j i j ɒ k
héten	h eː t ɛ n
vájdling	v aː j d l i ŋ ɡ
egyszerűsíthető	ɛ c s ɛ r yː ʃ iː t h ɛ t øː
bocsátanának	b o t͡ʃ aː t ɒ n aː n ɒ k
szangvinikus	s ɒ ŋ ɡ v i n i k u ʃ
speciálisabb	ʃ p ɛ t͡s i j aː l i ʃ ɒ bː
bátorságotok	b aː t o r ʃ aː ɡ o t o k
éter	eː t ɛ r
Balogh	b ɒ l o ɡ
hajkeféi	h ɒ j k ɛ f eː j i
abakusza	ɒ b ɒ k u s ɒ
szita	s i t ɒ
ingázik	i ŋ ɡ aː z i k
tartós	t ɒ r t oː ʃ
kérje	k eː r j ɛ
hirdet	h i r d ɛ t
nyugalmú	ɲ u ɡ ɒ l m uː
lógsz	l oː k s
ágyneműk	aː ɟ n ɛ m yː k
tealevél	t ɛ ɒ l ɛ v eː l
óvónő	o v oː n øː
bélyeggyűjtések	b eː j ɛ ɡ ɟ yː j t eː ʃ ɛ k
tananyag	t ɒ n ɒ ɲ ɒ ɡ
ciklámen	t͡s i k l aː m ɛ n
kiússza	k i j uː sː ɒ
legérintetlenebb	l ɛ ɡ eː r i n t ɛ t l ɛ n ɛ bː
énbennem	eː m b ɛ nː ɛ m
tudomások	t u d o m aː ʃ o k
hatóságok	h ɒ t oː ʃ aː ɡ o k
zsugoribb	ʒ u ɡ o r i bː
hazafiasan	h ɒ z ɒ f i j ɒ ʃ ɒ n
zsebbe	ʒ ɛ bː ɛ
avarom	ɒ v ɒ r o m
késedelme	k eː ʃ ɛ d ɛ l m ɛ
bocsátanánk	b o t͡ʃ aː t ɒ n aː ŋ k
babapiskóta	b ɒ b ɒ p i ʃ k oː t ɒ
találkozók	t ɒ l aː l k o z oː k
telepítési	t ɛ l ɛ p iː t eː ʃ i
szókapcsolatok	s oː k ɒ p t͡ʃ o l ɒ t o k
hóbagoly	h oː b ɒ ɡ o j
tűzeset	t yː z ɛ ʃ ɛ t
rendelkeznek	r ɛ n d ɛ l k ɛ z n ɛ k
százalékának	s aː z ɒ l eː k aː n ɒ k
passzív	p ɒ sː iː v
haris	h ɒ r i ʃ
treffek	t r ɛ fː ɛ k
házatokat	h aː z ɒ t o k ɒ t
vigye	v i ɟ ɛ
hiányzóbb	h i j aː ɲ z oː bː
olvasol	o l v ɒ ʃ o l
legobjektívebb	l ɛ ɡ o b j ɛ k t iː v ɛ bː
belül	b ɛ l y l
pisztolyaid	p i s t o j ɒ j i d
rögtön	r ø k t ø n
jégszemek	j eː k s ɛ m ɛ k
nebáncsvirág	n ɛ b aː n t͡ʃ v i r aː ɡ
termőföld	t ɛ r m øː f ø l d
céhhé	t͡s eː xː eː
szójaszósz	s oː j ɒ s oː s
menyek	m ɛ ɲ ɛ k
sávvá	ʃ aː vː aː
Földön	f ø l d ø n
partnert	p ɒ r t n ɛ r t
rendelések	r ɛ n d ɛ l eː ʃ ɛ k
hangos	h ɒ ŋ ɡ o ʃ
legsértődékenyebb	l ɛ k ʃ eː r t øː d eː k ɛ ɲ ɛ bː
szereplők	s ɛ r ɛ p l øː k
kötvények	k ø t v eː ɲ ɛ k
paleontológia	p ɒ l ɛ o n t o l oː ɡ i j ɒ
alanyesetté	ɒ l ɒ ɲ ɛ ʃ ɛ tː eː
cédrusfán	t͡s eː d r u ʃ f aː n
technikával	t ɛ x n i k aː v ɒ l
áttörés	aː tː ø r eː ʃ
ciklus	t͡s i k l u ʃ
hadászat	h ɒ d aː s ɒ t
listán	l i ʃ t aː n
értenéd	eː r t ɛ n eː d
innovatívabb	i nː o v ɒ t iː v ɒ bː
mernek	m ɛ r n ɛ k
ostyákon	o ʃ c aː k o n
fogdák	f o ɡ d aː k
apátnő	ɒ p aː t n øː
engedi	ɛ ŋ ɡ ɛ d i
cári	t͡s aː r i
táplálkozik	t aː p l aː l k o z i k
uralkodók	u r ɒ l k o d oː k
fülkagylók	f y l k ɒ ɟ l oː k
elöljárós	ɛ l ø jː aː r oː ʃ
sétál	ʃ eː t aː l
agglomerációk	ɒ ɡ l o m ɛ r aː t͡s i j oː k
darun	d ɒ r u n
