подивитися	p ɔ d ɪ ʋ ɪ t ɪ sʲ ɛ
маска	m ɑ s k ɛ
гібридний	ɦ i b r ɪ d n ɪ i
діагностика	dʲ i ɛ ɦ n ɔ s t ɪ k ɛ
град	ɦ r ɑ d
декларацію	d ɪ k ɫ ɛ r ɑ t͡sʲ i j u
хрін	x rʲ i n
скорочувати	s k ɔ r ɔ t͡ʃ u ʋ ɛ t ɪ
випроменити	ʋ ɪ p r ɔ m ɪ n ɪ t ɪ
індонезія	i n d ɔ n ɛ zʲ i j ɛ
перезаписати	p ɪ r ɪ z ɛ p ɪ s ɑ t ɪ
висіти	ʋ ɪ sʲ i t ɪ
федір	f ɛ dʲ i r
лихо	ɫ ɪ x ɔ
калюжа	k ɛ lʲ u ʒ ɛ
ключовий	k lʲ u t͡ʃ ɔ ʋ ɪ i
дитсадок	d ɪ t͡s ɛ d ɔ k
вирізнятися	ʋ ɪ rʲ i zʲ nʲ ɑ t ɪ sʲ ɛ
цукерка	t͡s u k ɛ r k ɛ
когнітивний	k ɔ ɦ nʲ i t ɪ u n ɪ i
авантюрниця	ɛ ʋ ɛ nʲ tʲ u r n ɪ t͡sʲ ɛ
щавель	ʃ t͡ʃ ɛ ʋ ɛ lʲ
ї	j i
шановний	ʃ ɛ n ɔ u n ɪ i
лише	ɫ ɪ ʃ ɛ
швидкістю	ʃ ʋ ɪ dʲ k i sʲ tʲ u
традиційно	t r ɛ d ɪ t͡sʲ i i n ɔ
беззубий	b ɪ z u b ɪ i
ідея	i d ɛ j ɛ
менеджмент	m ɛ n ɪ d͡ʒ m ɪ n t
номінальний	n ɔ m i n ɑ lʲ n ɪ i
естонський	ɪ s t ɔ nʲ sʲ k ɪ i
аврора	ɛ u r ɔ r ɛ
пожежа	p ɔ ʒ ɛ ʒ ɛ
рідна	rʲ i d n ɛ
абіогенез	ɛ b i ɔ ɦ ɪ n ɛ z
міжвоєнний	m i ʒ ʋ ɔ j ɛ n ɪ i
превентивний	p r ɪ ʋ ɪ n t ɪ u n ɪ i
команда	k ɔ m ɑ n d ɛ
ліберальний	lʲ i b ɪ r ɑ lʲ n ɪ i
судноплавство	s u d n ɔ p ɫ ɑ u s t ʋ ɔ
аварійний	ɛ ʋ ɛ rʲ i i n ɪ i
обшук	ɔ b ʃ u k
прислухування	p r ɪ s ɫ u x u ʋ ɛ nʲ ɛ
австрійський	ɛ u s tʲ rʲ i i sʲ k ɪ i
цегляний	t͡s ɪ ɦ lʲ ɛ n ɪ i
класовий	k ɫ ɑ s ɔ ʋ ɪ i
скидати	s k ɪ d ɑ t ɪ
мірою	m i r ɔ j u
толерантний	t ɔ ɫ ɪ r ɑ n t n ɪ i
рилам	r ɪ ɫ ɛ m
україно	u k r ɛ j i n ɔ
двосторонній	d ʋ ɔ s t ɔ r ɔ nʲ i i
абвер	ɑ b ʋ ɪ r
партнер	p ɛ r t n ɛ r
марний	m ɑ r n ɪ i
мороз	m ɔ r ɔ z
авіатраса	ɛ ʋ i ɛ t r ɑ s ɛ
аномалія	ɛ n ɔ m ɑ lʲ i j ɛ
поселення	p ɔ s ɛ ɫ ɪ nʲ ɛ
