janine	d͡ʒ ə n iː n
mashup	m æ ʃ ʌ p
eco	iː k ə ʊ
privilege	p ɹ ɪ v ɪ l ɪ d͡ʒ
dally	d æ l i
daimyo	d a ɪ m j o ʊ
conceptional	k ə n s ɛ p ʃ ə n ə l
xoanon	z o ʊ ə n ɑ n
masterly	m æ s t ɚ l i
reversionary	ɹ ə v ɝ ʒ ə n ɛ ɹ i
serpentine	s ɝ p ə n t a ɪ n
grandezza	ɡ ɹ æ n d ɛ t s ə
vecuronium	v ɛ k j ə ɹ o ʊ n i ə m
whatnot	w ʌ t n ɑ t
croupier	k ɹ u p i e ɪ
septicaemic	s ɛ p t ɪ s iː m ɪ k
gleams	ɡ l iː m z
schatz	ʃ æ t s
yiff	j ɪ f
leman	l iː m ə n
clit	k l ɪ t
spatialism	s p e ɪ ʃ ə l ɪ z ə m
undulant	ʌ n d͡ʒ ʊ l ə n t
adorableness	ə d ɔː ɹ ə b ə l n ə s
glorify	ɡ l ɔ ɹ ɪ f a ɪ
retransfer	ɹ iː t ɹ æ n s f ə ɹ
flapping	f l æ p ɪ ŋ
osage	o ʊ s e ɪ d͡ʒ
perplexity	p ə ɹ p l ɛ k s ə d i
seguin	s ə ɡ iː n
incapacitation	ɪ n k ə p æ s ɪ t e ɪ ʃ ə n
savagery	s æ v ɪ d͡ʒ ɹ ɪ
influencer	ɪ n f l u ə n s ə ɹ
confit	k ɒ n f iː
scotchka	s k ɑ t͡ʃ k ə
antiquity	æ n t ɪ k w ə t i
nodulus	n ɑ d͡ʒ ə l ə s
boiler	b ɔ ɪ l ɚ
injections	ɪ n d͡ʒ ɛ k ʃ ə n s
imbongis	ɪ m b ɔ ŋ ɡ i s
legally	l iː ɡ ə l i
amazingly	ə m e ɪ z ɪ ŋ l i
pegloticase	p ə ɡ l ɑ t ə k e ɪ s
dissension	d ɪ s ɛ n ʃ ə n
echo	ɛ k o ʊ
arraigning	ə ɹ e ɪ n ɪ ŋ
pyrrha	p ɪ r ə
remission	ɹ ə m ɪ ʃ ə n
watchlist	w ɔ t͡ʃ l ɪ s t
killer	k ɪ l ɚ
fink	f ɪ ŋ k
glyceride	ɡ l ɪ s ə ɹ a ɪ d
