skela	s k ê l a
kolonijalan	k ô l o n i j aː l a n
golišavost	ɡ o l ǐ ʃ a ʋ oː s t
đihad	d͡ʑ ǐ x aː d
redovan	r ê d oː ʋ a n
кривица	k r i ʋ ǐ t͡s a
uračunavati	u r a t͡ʃ u n ǎː ʋ a t i
sistematičan	s i s t e m ǎ t i t͡ʃ a n
тискати	t î s k a t i
датуља	d ǎ t u ʎ a
pokvariti	p o k ʋ ǎː r i t i
називати	n a z ǐː ʋ a t i
kroničar	k r ǒ n i t͡ʃ aː r
аутаркија	a u t ǎ r k i j a
ekonomičan	e k o n ǒ m i t͡ʃ a n
ругалачки	r ǔː ɡ a l a t͡ʃ k iː
врежа	ʋ r êː ʒ a
плиновод	p l î n o ʋ oː d
Мехмед	m ě h m e d
uputstvo	u p ǔ t s t ʋ o
исправан	î s p r aː ʋ a n
izobličavati	i z o b l i t͡ʃ ǎː ʋ a t i
великодушан	ʋ e l i k ǒ d u ʃ a n
родбински	r ô d b iː n s k iː
битер	b ǐ t e r
masnica	m ǎ s n i t͡s a
темпао	t e m p a o
крепати	k r ě p a t i
druželjubivo	d r u ʒ e ʎ ǔ b i ʋ o
графем	ɡ r ǎ f eː m
одобрити	o d ǒ b r i t i
jeftinoća	j e f t i n ǒ t͡ɕ a
исцрпити	i s t͡s ř̩ː p i t i
boljitak	b o ʎ ǐː t a k
apsorbirati	a p s o r b ǐː r a t i
opak	ô p aː k
пракрт	p r ǎ k r t
krolati	k r ǒ l a t i
одрађивати	o d r a d͡ʑ ǐː ʋ a t i
basnoslovan	b â s n o s l oː ʋ a n
сјеверноамерички	s j e ʋ e r n o a m ě r i t͡ʃ k iː
rodni	r ô d n iː
Kroacija	k r ǒ aː t͡s i j a
симпатично	s i m p ǎ t i t͡ʃ n o
гланц	ɡ l â n t͡s
зачаривати	z a t͡ʃ a r ǐː ʋ a t i
predati	p r ě d a t i
поносити	p o n ǒ s i t i
бахат	b â x a t
меница	m ê n i t͡s a
sakrament	s a k r ǎ m e n t
бугарски	b û ɡ a r s k iː
gljivar	ɡ ʎ ǐ ʋ aː r
утјешно	ǔ t j e ʃ n o
часослов	t͡ʃ â s o s l o ʋ
krhati	k r̂ x a t i
izravan	î z r aː ʋ a n
odrađivati	o d r a d͡ʑ ǐː ʋ a t i
umetnica	ǔ m e t n i t͡s a
besprekorno	b e s p r ěː k oː r n o
сиједост	s i j ěː d oː s t
izmjeničan	î z m j e n i t͡ʃ a n
Paragvaj	p â r a ɡ ʋ aː j
нишанџија	n i ʃ ǎ n d͡ʒ i j a
девет	d ê ʋ e t
galama	ɡ a l ǎː m a
бушити	b ǔː ʃ i t i
безвјеран	b ě z ʋ j eː r a n
деветина	d e ʋ ě t i n a
разоружати	r a z o r ǔ ʒ a t i
чиновничин	t͡ʃ i n ǒ ʋ n i t͡ʃ i n
odijeliti	o d j ěː l i t i
чланство	t͡ʃ l ǎ n s t ʋ o
крепао	k r ê p a o
želudac	ʒ ě l u d a t͡s
neograničen	n e o ɡ r ǎ n i t͡ʃ e n
оџачки	ǒ d͡ʒ a t͡ʃ k iː
индискреција	i n d i s k r ěː t͡s i j a
дневни	d n êː ʋ n iː
oživiti	o ʒ ǐː ʋ i t i
lagodnost	l â ɡ o d n oː s t
omesti	ǒ m eː s t i
микрофон	m î k r o f oː n
urotiti	u r ǒ t i t i
замерљив	z a m ě r ʎ i ʋ
bosanski	b ǒ s a n s k iː
шрафцигер	ʃ r ǎ f t͡s iː ɡ e r
katoličanstvo	k a t o l i t͡ʃ ǎː n s t ʋ o
željeznički	ʒ ě ʎ e z n i t͡ʃ k iː
računovođa	r a t͡ʃ u n ǒ ʋ o d͡ʑ a
aleutski	a l ě u t s k iː
бог	b ôː ɡ
šuštar	ʃ û ʃ t aː r
ветеринарка	ʋ e t e r ǐ n aː r k a
akuzativ	â k u z a t iː ʋ
Sumatra	s ǔ m a t r a
dramaturgija	d r a m a t ǔ r ɡ i j a
pregalac	p r ě ɡ a l a t͡s
prelijetati	p r e l i j ěː t a t i
tračara	t r ǎ t͡ʃ a r a
малочас	m â l o t͡ʃ a s
č	t͡ʃ
земљопосједник	z e m ʎ o p ǒː s j e d n iː k
tekstualan	t ê k s t u aː l aː n
поново	p ô n o ʋ o
гошће	ɡ ǒ ʃ t͡ɕ e
двојина	d ʋ o j ǐ n a
raskošno	r ǎː s k o ʃ n o
ovjeriti	ǒ ʋ j e r i t i
линеарно	l î n e aː r n o
јечам	j ě t͡ʃ a m
прештампавати	p r e ʃ t a m p ǎː ʋ a t i
безгрешно	b ě z ɡ r e ʃ n o
sabrati	s ǎ b r a t i
podržavati	p o d r ʒ ǎː ʋ a t i
prepirka	p r ě p iː r k a
usavršavati	u s a ʋ r ʃ ǎː ʋ a t i
kozar	k ǒ z aː r
гондолијер	ɡ o n d o l ǐ j eː r
слаткорјечив	s l a t k o r j ě t͡ʃ i ʋ
bakšiš	b ǎ k ʃ i ʃ
stvor	s t ʋ ô r
мрзак	m r̂ z a k
расправљати	r ǎ s p r a ʋ ʎ a t i
шупчина	ʃ ǔ p t͡ʃ i n a
biografski	b i ǒ ɡ r a f s k iː
starčić	s t ǎ r t͡ʃ i t͡ɕ
библиофил	b i b l i ǒ f iː l
страдати	s t r ǎː d a t i
vrzmati	ʋ r̂ z m a t i
notorno	n ǒ t oː r n o
бабарога	b a b a r ǒː ɡ a
пешице	p ê ʃ i t͡s eː
истина	î s t i n a
vrpoljiti	ʋ r p ǒ ʎ i t i
однекуд	ǒ d n e k u d
трагичност	t r ǎ ɡ i t͡ʃ n oː s t
buhica	b ǔ x i t͡s a
воњати	ʋ ǒ ɲ a t i
сумпор	s ûː m p o r
сталешки	s t ǎː l e ʃ k iː
beglajter	b e ɡ l ǎ j t e r
ukrcavati	u k r̩ t͡s ǎː ʋ a t i
јахање	j â x aː ɲ e
kožuh	k ǒ ʒ u x
прилагођивати	p r i l a ɡ o d͡ʑ ǐː ʋ a t i
čovječanstvo	t͡ʃ o ʋ j e t͡ʃ ǎ n s t ʋ o
smeon	s m ě o n
сјена	s j ê n a
avion	a ʋ ǐ oː n
свагдашњи	s ʋ ǎ ɡ d a ʃ ɲ iː
с́утра	ɕ û t r a
gorjeti	ɡ ǒ r j e t i
ovđe	ǒː ʋ d͡ʑ e
пљачкати	p ʎ â t͡ʃ k a t i
демон	d ě m oː n
podnošljiv	p o d n ǒ ʃ ʎ i ʋ
zaseban	z ǎː s e b a n
одобрење	o d o b r ěː ɲ e
компетенција	k o m p e t ě n t͡s i j a
разумно	r â z uː m n o
rezistentan	r e z i s t ě n t a n
голишавост	ɡ o l ǐ ʃ a ʋ oː s t
узнемирити	u z n e m ǐː r i t i
сувозач	s û ʋ o z aː t͡ʃ
beračica	b e r ǎ t͡ʃ i t͡s a
рано	r â n o
појављивати	p o j a ʋ ʎ ǐː ʋ a t i
japanski	j ǎ p aː n s k iː
postariji	p ô s t a r i j iː
Пристег	p r ǐ s t e ɡ
мобилизација	m o b i l i z ǎː t͡s i j a
dvojina	d ʋ o j ǐ n a
прелетати	p r e l ěː t a t i
адмирал	a d m ǐ r aː l
синов	s îː n o ʋ
pak	p â k
polubrat	p o l ǔ b r a t
refleksivno	r ê f l e k s iː ʋ n o
корити	k ǒ r i t i
бескаматни	b ě s k a m a t n iː
izolirano	i z ǒ l iː r a n o
vratnica	ʋ r â t n i t͡s a
ugasiti	u ɡ ǎː s i t i
побеђивати	p o b e d͡ʑ ǐː ʋ a t i
богаз	b ô ɡ a z
galski	ɡ âː l s k iː
aktivist	a k t ǐ ʋ i s t
ideološki	i d e ǒ l o ʃ k iː
slonovski	s l ǒ n o ʋ s k iː
лептир	l ê p t iː r
уопште	ǔ o p ʃ t e
čudotvoran	t͡ʃ û d o t ʋ oː r a n
шпилкарта	ʃ p îː l k aː r t a
ručurda	r ǔ t͡ʃ uː r d a
часно	t͡ʃ â s n o
zločinstvo	z l ǒ t͡ʃ iː n s t ʋ o
izlišno	î z l i ʃ n o
oporavljati	o p ǒ r a ʋ ʎ a t i
Арменац	a r m ěː n a t͡s
наум	n ǎ u m
глибовит	ɡ l i b ǒ ʋ i t
kolajna	k ǒ l aː j n a
прихватити	p r ǐ x ʋ a t i t i
црквенословенски	t͡s r̩ k ʋ e n o s l ǒ ʋ e n s k iː
стидјети	s t ǐː d j e t i
monotonija	m o n o t ǒ n i j a
prevashodan	p r e v ǎ s x o d a n
крајишник	k r ǎ j i ʃ n iː k
црвењети	t͡s r ʋ ě ɲ e t i
pobeći	p ǒ b e t͡ɕ i
несвест	n ê s ʋ eː s t
jajašce	j a j ǎ ʃ t͡s e
sakagija	s a k ǎ ɡ i j a
iznad	î z n a d
prepoznati	p r e p ǒ z n a t i
побјељивати	p o b j e ʎ ǐː ʋ a t i
neizvestan	n ê i z ʋ e s t a n
човјек	t͡ʃ ô ʋ j e k
smotriti	s m ǒ t r i t i
деизам	d e ǐ z a m
перфект	p ě r f e k t
пољубити	p o ʎ ǔː b i t i
шопати	ʃ ô p a t i
танац	t â n a t͡s
pristignuti	p r ǐ s t i ɡ n u t i
rudeti	r ǔː d e t i
vani	ʋ ǎ n i
трпеза	t ř p e z a
mješovit	m j e ʃ ǒ ʋ i t
samotnik	s â m o t n iː k
разложан	r ǎː z l o ʒ a n
козица	k ǒ z i t͡s a
плебејац	p l e b ěː j a t͡s
ostrvo	ô s t r ʋ o
геј	ɡ êː j
australijski	a ǔ s t r aː l iː j s k iː
diletant	d i l ě t a n t
plaćati	p l ǎː t͡ɕ a t i
šupljikav	ʃ u p ʎ ǐ k a ʋ
nepristojan	n ê p r i s t oː j a n
mikrofon	m î k r o f oː n
iskvariti	i s k ʋ ǎː r i t i
vetar	ʋ ê t a r
jučeranji	j u t͡ʃ ě r a ɲ iː
superioran	s û p e r i oː r a n
kolektor	k ǒ l e k t o r
licemjerka	l î t͡s e m j eː r k a
сидвестер	s ǐ d ʋ e s t e r
alergologijski	a l e r ɡ o l ǒ ɡ iː j s k iː
кшатрија	k ʃ ǎ t r i j a
Apolon	a p ǒ l oː n
живети	ʒ ǐː ʋ e t i
sjemenka	s j ě m eː n k a
луднички	l ǔː d n i t͡ʃ k iː
strizati	s t r ǐː z a t i
odjednom	o d j ě d n oː m
transverzala	t r a n s ʋ e r z ǎː l a
iluzionizam	i l u z i o n ǐ z a m
potajan	p ô t aː j a n
зове	z ǒ ʋ e
гробар	ɡ r ǒ b aː r
анексија	a n ě k s i j a
импозантно	i m p o z ǎ n t n o
fotografija	f o t o ɡ r ǎ f i j a
Afrikanac	a f r i k ǎː n a t͡s
зеугма	z e ǔ ɡ m a
mletački	m l ê t a t͡ʃ k iː
cijepati	t͡s i j ěː p a t i
растати	r ǎ s t a t i
kauzativan	k â u z a t iː ʋ a n
prepisivati	p r e p i s ǐː ʋ a t i
виспрен	ʋ î s p r e n
patricijski	p a t r ǐ t s iː j s k iː
lečiti	l ěː t͡ʃ i t i
оживјети	o ʒ ǐː ʋ j e t i
непостојан	n e p ǒː s t o j aː n
lopovština	l o p ǒː ʋ ʃ t i n a
рукица	r ǔ k i t͡s a
biljka	b îː ʎ k a
пакосник	p â k o s n iː k
probava	p r ô b a ʋ a
čemerika	t͡ʃ e m ě r i k a
nasljedan	n ǎː s ʎ e d a n
склониште	s k l ô n iː ʃ t e
upaliti	u p ǎː l i t i
редовно	r ê d oː ʋ n o
причекати	p r ǐ t͡ʃ e k a t i
osiguranje	o s i ɡ u r ǎː ɲ e
modalitet	m o d a l ǐ t eː t
pretražiti	p r e t r ǎː ʒ i t i
improvizacija	i m p r o ʋ i z ǎː t͡s i j a
porudžbina	p ǒ r u d͡ʒ b i n a
izdahnuti	i z d ǎ x n u t i
залуд	z â l uː d
oteti	ǒ t eː t i
polumrak	p ô l u m r aː k
slučajno	s l û t͡ʃ aː j n o
perspektivan	p ê r s p e k t iː ʋ a n
амандман	a m ǎ n d m aː n
вежбати	ʋ ê ʒ b a t i
podrugnuti	p ǒ d r u ɡ n u t i
темељито	t e m ě ʎ i t o
Ś	ɕ
feudalan	f ê u d aː l a n
vidljiv	ʋ ǐ d ʎ i ʋ
prijedložni	p r i j ěː d l o ʒ n iː
оправдати	ǒ p r aː ʋ d a t i
pravoverje	p r â ʋ o ʋ eː r j e
teatar	t e ǎː t a r
криминолог	k r i m i n ǒ l o ɡ
boginja	b ǒ ɡ i ɲ a
neznatno	n ê z n aː t n o
kontaminacija	k o n t a m i n ǎː t͡s i j a
masturbirati	m a s t u r b ǐː r a t i
симултано	s î m u l t aː n o
злоба	z l ǒ b a
амортизација	a m o r t i z ǎː t͡s i j a
затворен	z ǎ t ʋ o r e n
suparnik	s ǔ p aː r n iː k
непотпун	n ê p o t p u n
разблудница	r ǎː z b l u d n i t͡s a
Британија	b r ǐ t aː n i j a
змајев	z m â j e ʋ
змај	z m â j
Флорида	f l ǒ r i d a
кочија	k ǒ t͡ʃ i j a
бала	b â l a
kriška	k r î ʃ k a
масив	m ǎ s iː ʋ
bezizražajno	b ê z i z r a ʒ aː j n o
plesač	p l ě s aː t͡ʃ
казаљка	k ǎ z aː ʎ k a
управљати	ǔ p r a ʋ ʎ a t i
рушевност	r û ʃ eː ʋ n oː s t
лучити	l ǔː t͡ʃ i t i
грмети	ɡ ř m e t i
rukovoditi	r u k o ʋ ǒ d i t i
rastvoriti	r a s t ʋ ǒ r i t i
aktualizirati	a k t u a l i z ǐː r a t i
besa	b ěː s a
spavalica	s p ǎː ʋ a l i t͡s a
грамзивац	ɡ r ǎ m z i ʋ a t͡s
окултан	ǒ k u l t a n
противно	p r ô t iː ʋ n o
импресиван	î m p r e s iː ʋ a n
преврат	p r ê ʋ r aː t
ненавидети	n e n ǎː ʋ i d e t i
