karak	ˈk a . r a k
nakhoda	n a ˈx o d a
irama	i r a m a
penelitian	p ə . n ə . l i . ˈt i . a n
mencium	m ə ɲ t͡ʃ i u m
zikir	ˈz i k ɪ r
padus	p a . d u s
kebakaran	k ə ˈb a . k a ˈr a n
torsi	t o r . s i
sijil	s i d͡ʒ ɪ l
patahan	p a ˈt a h a n
aldehida	a l d e ˈh i d a
pelarian	p ə . l a . ˈr i . a n
j	d͡ʒ e
eco	ˈe . t͡ʃ o
kerepek	k ə ˈr ɛ p ə k̚
penggiling	p ə ŋ . ɡ ɪ . l ɪ ŋ
dukung	ˈd u . k ʊ ŋ
lokalisir	l o k a l i s ɪ r
makanan	m a k a . n a n
J	d͡ʒ e
menyatakan	m ə ɲ a ˈt a k a n
ajara	ˈa d͡ʒ a r a
rancang	ˈr a n . t͡ʃ a ŋ
cahaya	t͡ʃ a ˈh a j a
angkruk	ˈa ŋ k r ʊ k̚
kandelir	k a n . d ə . ˈl ɪ r
perwakilan	p ə r w a ˈk ɪ l a n
krans	ˈk r a n s
hipernim	h i p ə r ˈn ɪ m
singgasana	s i ŋ . ɡ a . s a . n a
obesitas	o b ɛ . s i . t a s
argiria	a r ˈɡ i r i a̯
menggempita	m ə ŋ . ɡ ə m . p i . t a
ustaz	ˈʊ s t a z
lensa	l ɛ n s a
yo	j oː
jiwa	d͡ʒ i . w a
pemeriksaan	p ə m ə r ɪ k ˈs a a n
terpanjang	t ə r ˈp a n d͡ʒ a ŋ
ancak	ˈa n t͡ʃ a k̚
tekidanto	t ɛ . k i . d a n . t o
seri	ˈs e . r i
bunting	b ʊ n . t ɪ ŋ
micin	m i . t͡ʃ i n
Sabrina	ˈs a b r i n a
antolong	a n ˈt o l ɔ ŋ
mengingat	m ə ŋ ˈɪ ŋ a t̚
antaladan	a n . t a . ˈl a . d a n
seru	s ə ˈr u
kali	k a . l i
Sunda	ˈs ʊ n d a
baginda	b a ɡ i n d a
maljum	ˈm a l d͡ʒ u m
sepur	s ə ˈp u r
anjal	ˈa n d͡ʒ a l
analitis	a n a ˈl i t ɪ s
kumpulan	k ʊ m ˈp ʊ l a n
wizurai	w i ˈz u r a i̯
frekwensi	f r e k . w ɛ n . s i
salam	ˈs a l a m
nyiur	ˈɲ j u r
gundik	ˈɡ u n d i ʔ
elektris	ɛ l ɛ k . t r ɪ s
selalu	s ə l a l u
taat	ˈt a . ʔ a t̚
suka	ˈs u k a
L	ɛ l
negoisasi	n ɛ . ɡ o . s i . a . s i
kahar	ˈk a h a r
basantara	b a . s a n . ˈt a . r a
idap	ˈɪ d a p̚
KK	k a . k a
tanda	ˈt a n d a
stasi	s t a s i
fotosel	f o ˈt o s ɛ l
pleidoi	ˈp l e i . d o i̯
ekaristi	ɛ k a r i s t i
kapanewon	k a . p a . n e . w ɔ n
bikini	b i ˈk i n i
ompol	ˈo m . p o l
beruang	b ə ˈr u a̯ ŋ
badi	ˈb a d i
mangkuk	ˈm a ŋ k ʊ k̚
benik	b ə ˈn ɪ k̚
difraksi	d i . ˈf r a k . s i
perjaka	p ə r . ˈd͡ʒ a . k a
pranatal	p r a . ˈn a . t a l
karunia	k a r u n i a̯
oligarkis	o . l i . ˈɡ a r . k ɪ s
gulana	ɡ u l a n a
sepatu	s ə . p a . t u
memimpin	m ə ˈm ɪ m p ɪ n
dirgahayu	d i r . ɡ a . h a . j u
alel	ˈa . l ɛ l
ritsleting	r i t . s l ə . t i ŋ
kapitan	k a ˈp i t a n
cantik	t͡ʃ a n . t i k
Norwegia	n ɔ r . w e . ɡ i a̯
weker	w ɛ . k ə r
layanan	l a ˈj a n a n
kapan	k a . p a n
terima	t ə ˈr i m a
sosialisme	s o s i a l ˈɪ s m ə
lenga	l ə . ˈŋ a
perintah	p ə ˈr ɪ n t a h
busana	b u . s a . n a
menyusun	m ə . ɲ u . s ʊ n
daur	ˈd a ʊ r
seronok	s ə . ˈr o . n ɔ ʔ
inflasi	ɪ n . ˈf l a . s i
veteriner	v ɛ . t ə . ˈr i . n ɛ r
kaki	ˈk ä . k i
KTSP	k a t e ˈɛ s p e
ecer	ˈɛ t͡ʃ ɛ r
berat	b ə ˈr a t
hanya	h a . ɲ a
hidayah	h i ˈd a j a h
pengecaman	p ə . ŋ ə . ˈt͡ʃ a m . a n
qanun	q a n u n
pleno	ˈp l e n o
tapa	t a . p a
cadang	ˈt͡ʃ a . d a ŋ
gen	ˈɡ ɛ n
adaptif	ˈa d a p . t ɪ f
magang	ˈm a . ɡ a ŋ
slang	s ə l a ŋ
campur	t͡ʃ a m . p ʊ r
bahtera	b a h . t ə . r a
tenggorok	t̪ ə ŋ . ˈɡ o . r o k̚
baronsai	b a . r o n . s a i̯
pala	p a . l a
butun	ˈb u t u n
bakpau	b a k . p a ʊ̯
kilang	k i l a ŋ
besikal	b ə ˈs i . k a l
humanisme	h u . m a . ˈn ɪ s . m ə
