fosforilaremos	f o s f o ɾ i l a ˈɾ e m o s
namnam	n a m ˈn a m
мөгөөрс	m ɵ ɣ ɵː r s
yatyat	j a t ˈj a t
marginalness	m ɑ ɹ d͡ʒ ə n ə ɫ n ə s
caed	k a ˈe d
ngipin	ˈŋ i p i n
kedatangan	k ə ˈd a t a ŋ a n
tyrant	t a ɪ ɹ ə n t
жишээг	t͡ɕ i ɕ eː k
динозавруудгүй	t i n ɔ t͡s a w̜ r ʊː t k u i̯
brotastic	b ɹ ə ʊ t æ s t ɪ k
neosnovan	n ê o s n o ʋ aː n
жучљив	ʒ ǔ t͡ʃ ʎ i ʋ
korni	ˈk o ɾ n i
boikot	ˈb o i̯ k ɔ t̚
kuya	ˈk u j a
dulas	d u ˈl a s
alojar	a l o ˈx a ɾ
keanekaragaman	k ə . a . n ɛ . k a . r a . ɡ a . m a n
biodinámicos	b i o d i ˈn a m i k o s
redaction	ɹ ə d æ k ʃ ə n
vesicante	b e s i ˈk a n t e
lityo	ˈl i t j o
devisa	d e . ˈv i . s a
шафа	ʃ a f a
razorno	r ǎː z oː r n o
хоймсон	x ɔ i̯ m s ɔ ŋ
хувь	x ʊ wʲ
linear	l i ˈn ɛ a r
debus	d ə ˈb ʊ s
rizzuto	ɹ ɪ t s uː t ə ʊ
fenaquistoscopio	f e n a k i s t o s ˈk o p j o
anoda	a . n o . d a
obsequiada	o b s e ˈk j a d a
gazelle	ɡ ə z ɛ l
terpidana	t ə r . p i . ˈd a . n a
revise	ɹ ɪ v a ɪ̯ z
mabagyo	m a b a ɡ ˈj o
babaun	b a . ˈb a . ʊ n
sedes	ˈs e d e s
улудо	û l uː d o
kruk	k r ʊ k
дјелотворан	d j ê l o t ʋ oː r a n
tehničar	t ě x n i t͡ʃ aː r
глицерин	ɡ l i t͡s ě r iː n
seriaremos	s e ɾ j a ˈɾ e m o s
libreta	l i ˈb ɾ e t a
rodni	r ô d n iː
seguin	s ə ɡ iː n
jarum	ˈd͡ʒ a r u m
huno	ˈu n o
purgatoryo	p u ɾ ɡ a ˈt o ɾ j o
venality	v ɪ n æ l ɪ t i
гүнжүүдгүй	k u n t͡ɕ uː t k u i̯
tokador	t o k a ˈd o ɾ
extremities	ɪ k s t ɹ ɛ m ə t i z
espantoso	e s p a n ˈt o s o
eschatology	ɛ s k ə t ɔ l ə d͡ʒ i
Kristen	ˈk r ɪ s . t ə n
убитачан	û b i t a t͡ʃ a n
авдарт	a w̜ t a r̥ tʰ
nila	n i . l a
булган	p ʊ ɮ k a ŋ
madamo	m a d a ˈm o
sibsib	s i b ˈs i b
anido	ˈa n i d o
handuk	h a n d ʊ k̚
quinurénico	k i n u ˈɾ e n i k o
гуайгаар	k u̯ ɛː k aː r̥
лексикографски	l e k s i k ǒ ɡ r a f s k iː
versi	ˈv ɛ r s i
cicatrise	s ɪ k ə t ɹ a ɪ z
guliti	ɡ ǔː l i t i
аалзнуудгүй	aː ɮ t͡s n ʊː t k u i̯
новчаница	n o ʋ t͡ʃ ǎ n i t͡s a
гийгүүлэгч	k iː k uː ɮ e k t͡ɕʰ
violentada	b j o l e n ˈt a d a
launch	l ɔ n t͡ʃ
консекутивно	k ô n s e k u t iː ʋ n o
kolektivisme	k o l ɛ k t i ˈv ɪ s m ə
трачница	t r â t͡ʃ n i t͡s a
gereja	ɡ ə ˈr ɛ d͡ʒ a
fenoldopam	f ɪ n o ʊ l d ə p æ m
tenggeret	t ə ŋ ˈɡ ɛ r ɛ t
kiptjeti	k ǐ p t j e t i
liing	l i ˈʔ i ŋ
Remigio	r e ˈm i x j o
magusot	m a ɡ u ˈs o t
sarasehan	s a . r a . ˈs ɛ h . a n
iskul	ʔ i s ˈk u l
двориште	d ʋ ǒ r iː ʃ t e
inquest	ɪ ŋ k w ɛ s t
immerse	ɪ m ɝ s
побољшати	p o b ǒ ʎ ʃ a t i
desproveyera	d e s p ɾ o b e ˈʝ e ɾ a
авгуудтай	a w̜ k ʊː t tʰ ɛː
autokracija	a u t o k r ǎ t͡s i j a
gejala	ɡ ə . ˈd͡ʒ a . l a
semong	s ə ˈm ɔ ŋ
češati	t͡ʃ ě ʃ a t i
дувар	d û ʋ aː r
импресиониран	i m p r e s i ǒ n i r a n
volteriana	b o l t e ˈɾ j a n a
mariposilla	m a ɾ i p o ˈs i ʝ a
satire	s æ t a ɪ ɹ
modifico	m o d i ˈf i k o
fincado	f i n ˈk a d o
эрчүүдийн	e r̥ t͡ɕʰ uː t iː ŋ
ancut	ˈa n . t͡ʃ ʊ t
badek	ˈb a . d ə k
нэрсэндээ	n e r s e n t eː
анаашнуудгүй	a n aː ɕ n ʊː t k u i̯
balearic	b æ l i æ ɹ ɪ k
argüíais	a ɾ ˈɡ w i a i s
bavaroy	b æ v ə ɹ ɔ ɪ
хүмүүнгүй	x u m uː ŋ k u i̯
гэрийнх	k e r iː ŋ x
reposados	r e p o ˈs a d o s
lisan	ˈl i s a n
регула	r ê ɡ u l a
dalubhayupan	d a ˌl u b h a ˈj u p a n
эрхийвч	i r x i w t͡ɕʰ
kamya	ˈk a m j a
vecuronium	v ɛ k j ə ɹ o ʊ n i ə m
просац	p r ǒ s a t͡s
tangina	t a ŋ i ˈn a
inkling	ɪ ŋ k l ɪ ŋ
poremećivati	p o r e m e t͡ɕ ǐː ʋ a t i
lumambitin	l u m a m ˈb i t i n
abluidas	a ˈb l w i d a s
буддагүйгээ	p ʊ t͉ t a ɣ u i̯ ɣ eː
zeppola	t s ɛ p ə l ə
beračica	b e r ǎ t͡ʃ i t͡s a
pastuh	p â s t uː x
rames	ˈr a . m ə s
kauzativan	k â u z a t iː ʋ a n
галигтай	k a ɮ i k tʰ ɛː
ragù	ɹ æ ɡ u
guillemet	ɡ i j ə m e ɪ
dominirati	d o m i n ǐː r a t i
Clemente	k l e ˈm e n t e
umich	j u m ɪ ʃ
leído	l e ˈi d o
jurnalisme	d͡ʒ ʊ r . n a . ˈl ɪ s . m ə
tascó	t a s ˈk o
festivus	f ɛ s t ɪ v ə s
mantan	ˈm a n t a n
labandero	l a b a n ˈd e ɾ o
нэрсэнд	n e r s e n t
sureness	ʃ ʊ ɹ n ə s
brutalidad	b ɾ u t a l i ˈd a d
аадраар	aː t r aː r̥
фашизм	f a ɕ i t͡s m
автокранууд	a w̜ tʰ ɔ kʰ r a n ʊː t
tabi	t a ˈb i
причекати	p r ǐ t͡ʃ e k a t i
дэл	t i ɮ
өрсөлдөгч	ɵ r s ɵ ɮ t ɵ ɡ t͡ʃʰ
daur	ˈd a ʊ r
laminaras	l a m i ˈn a ɾ a s
curate	k j ʊ ɹ e ɪ t
kertas	k ə r ˈt a s
јагуар	j â ɡ u aː r
Valdemar	b a l d e ˈm a ɾ
pristignuti	p r ǐ s t i ɡ n u t i
бөөгийнх	p ɵː k iː ŋ x
реагирати	r e a ɡ ǐː r a t i
swire	s w a ɪ ə
automobilist	a u t o m o b ǐ l i s t
уопће	ǔ o p t͡ɕ e
chingongo	t͡ʃ i n ˈɡ o n ɡ o
pelembapan	p ə . l ə m . ˈb a p . a n
impas	ˈɪ m p a s
razilazak	r a z ǐ l a z a k
parlementer	p a r l ə m ɛ n t ɛ r
ꦱꦺꦮ	s e w a
ambiguitas	a m b i ɡ u ˈi t a s
хөвгүүдээ	x ɵ w̜ k uː t eː
baulk	b ɔ k
labaw	ˈl a b a w
призивати	p r i z ǐː ʋ a t i
жижүүр	t͡ɕ i t͡ɕ u r
malherida	m a l e ˈɾ i d a
lungaw	l u ˈŋ a w
srodnost	s r ô d n oː s t
пальтон	pʰ a ɮʲ tʰ ɔ ŋ
vani	ʋ ǎ n i
хладноратовски	x l a d n o r ǎ t o ʋ s k iː
embalsado	e m b a l ˈs a d o
superpotente	s u p e ɾ p o ˈt e n t e
reanimasi	r e a n i m a s i
mamumuhunan	m a m u m u ˈh u n a n
halal	h ə l ɑː l
haríais	a ˈɾ i a i s
layang	ˈl a . j a ŋ
органски	ǒ r ɡ aː n s k iː
Шианган	ɕ i̯ aː ŋ k a ŋ
obserbatoryo	ʔ o b s e ɾ b a ˈt o ɾ j o
тэмээн	tʰ e m eː ŋ
tagmangga	t a ɡ m a ŋ ˈɡ a
sikolohiya	s i k o l o ˈh i a
spesies	s p ɛ . ˈs i . ɛ s
kitty	k ɪ t i
laryngitis	l ɛ ɹ ɪ n d͡ʒ a ɪ t ɪ s
дайх	t a i x
cerebel	s ɛ ɹ ə b ə l
вересија	ʋ e r ě s i j a
sentralistis	s ɛ n t r a ˈl ɪ s t ɪ s
rabies	r a . ˈb i . ɛ s
integral	ʔ i n t e ɡ ˈɾ a l
falafel	f a l a ˈf e l
inupas	ʔ i ˈn u p a s
wench	w ɛ n t͡ʃ
adil	a . d i l
холтоснуудаар	x ɔ ɮ tʰ ɔ s n ʊː t aː r̥
pleidoi	ˈp l e i . d o i̯
kerosin	ˌk e ɾ o ˈs i n
desgarrante	d e s ɡ a ˈr a n t e
божиј	b ô ʒ iː j
орчон	ɔ r̥ t͡ɕʰ ɔ ŋ
придјевски	p r ǐː d j e ʋ s k iː
тржишни	t r̂ ʒ iː ʃ n iː
узбуђеност	ǔ z b uː d͡ʑ e n oː s t
blacktop	b l æ k t ɒ p
holdap	ˈh o l d a p
tahure	ˈt a h u ɾ e
dipstick	d ɪ p s t ɪ k
enroca	e n ˈr o k a
neizvestan	n ê i z ʋ e s t a n
pergelaran	p ə r . ɡ ə . ˈl a r . a n
sondeados	s o n d e ˈa d o s
seru	s ə ˈr u
