consensuar	k o n s e n ˈs w a ɾ
desbarrancadas	d e s b a r a n ˈk a d a s
autonomista	a u t o n o ˈm i s t a
salvaguardamos	s a l b a ɡ w a ɾ ˈd a m o s
procrastinar	p ɾ o k ɾ a s t i ˈn a ɾ
coexista	k o e ɡ ˈs i s t a
llamaremos	ʝ a m a ˈɾ e m o s
victimado	b i ɡ t i ˈm a d o
Chile	ˈt͡ʃ i l e
abaldonases	a b a l d o ˈn a s e s
acobardares	a k o b a ɾ ˈd a ɾ e s
escavar	e s k a ˈb a ɾ
ondina	o n ˈd i n a
absuelto	a b ˈs w e l t o
desencabestrado	d e s e n k a b e s ˈt ɾ a d o
Pireo	p i ˈɾ e o
primate	p ɾ i ˈm a t e
tristura	t ɾ i s ˈt u ɾ a
litigares	l i t i ˈɡ a ɾ e s
conservadorismo	k o n s e ɾ b a d o ˈɾ i s m o
enroca	e n ˈr o k a
extrusiva	e ɡ s t ɾ u ˈs i b a
Pegaso	p e ˈɡ a s o
deforestar	d e f o ɾ e s ˈt a ɾ
hipocomplementemia	i p o k o m p l e m e n ˈt e m j a
debelaste	d e b e ˈl a s t e
pélvica	ˈp e l b i k a
patovica	p a t o ˈb i k a
acústicas	a ˈk u s t i k a s
despeñados	d e s p e ˈɲ a d o s
tírenla	ˈt i ɾ e n l a
Canuto	k a ˈn u t o
paletón	p a l e ˈt o n
esponjoso	e s p o n ˈx o s o
opulento	o p u ˈl e n t o
colectivista	k o l e ɡ t i ˈb i s t a
errarás	e r a ˈɾ a s
aplicable	a p l i ˈk a b l e
funicular	f u n i k u ˈl a ɾ
villalbés	b i ʝ a l ˈb e s
Guáimaro	ˈɡ w a i m a ɾ o
solad	s o ˈl a d
dijeren	d i ˈx e ɾ e n
castellanista	k a s t e ʝ a ˈn i s t a
Góngora	ˈɡ o n ɡ o ɾ a
abstuvieren	a b s t u ˈb j e ɾ e n
fotografiado	f o t o ɡ ɾ a ˈf j a d o
habitadora	a b i t a ˈd o ɾ a
paralelada	p a ɾ a l e ˈl a d a
escurrir	e s k u ˈr i ɾ
aerocubierta	a e ɾ o k u ˈb j e ɾ t a
gamarrista	ɡ a m a ˈr i s t a
juglaresco	x u ɡ l a ˈɾ e s k o
porrito	p o ˈr i t o
honores	o ˈn o ɾ e s
vial	ˈb j a l
hipsómetros	i b ˈs o m e t ɾ o s
tenebrosas	t e n e ˈb ɾ o s a s
pluvioso	p l u ˈb j o s o
deleitar	d e l e i ˈt a ɾ
amartillado	a m a ɾ t i ˈʝ a d o
enredados	e n r e ˈd a d o s
catecúmena	k a t e ˈk u m e n a
titulaste	t i t u ˈl a s t e
proveídos	p ɾ o b e ˈi d o s
radiografiados	r a d j o ɡ ɾ a ˈf j a d o s
débil	ˈd e b i l
polbero	p o l ˈb e ɾ o
dalia	ˈd a l j a
juguetonamente	x u ɡ e ˌt o n a ˈm e n t e
jamelga	x a ˈm e l ɡ a
palatino	p a l a ˈt i n o
postobligatorios	p o s t o b l i ɡ a ˈt o ɾ j o s
chulunca	t͡ʃ u ˈl u n k a
empatada	e m p a ˈt a d a
superares	s u p e ˈɾ a ɾ e s
animada	a n i ˈm a d a
estaré	e s t a ˈɾ e
odre	ˈo d ɾ e
cochambre	k o ˈt͡ʃ a m b ɾ e
sarga	ˈs a ɾ ɡ a
rescatadas	r e s k a ˈt a d a s
locutivo	l o k u ˈt i b o
cabás	k a ˈb a s
